"question","expression","answer"
"What is 4829 multiplied by 736?", 4829*736,3554144.0
"Calculate 67392 divided by 85", 67392/85,792.8470588235294
"What's the result of 19583 plus 42967?", 19583+42967,62550.0
"Compute 86729 minus 35214", 86729-35214,51515.0
"What is the product of 943 and 678?", 943*678,639354.0
"Calculate the sum of 69384 and 128", 69384+128,69512.0
"What's 23786 divided by 452?", 23786/452,52.623893805309734
"Find the product of 84632 and 375", 84632*375,31737000.0
"Calculate 1254 plus 863", 1254+863,2117.0
"What is 79281 minus 93?", 79281-93,79188.0
"What's the result when you multiply 35721 by 629?", 35721*629,22468509.0
"Calculate 87301 divided by 462", 87301/462,188.96320346320346
"How much is 738 plus 1425?", 738+1425,2163.0
"What is 64872 minus 144?", 64872-144,64728.0
"Find the product of 879 and 652", 879*652,573108.0
"Calculate 58743 divided by 231", 58743/231,254.2987012987013
"What's the sum of 27549 and 63852?", 27549+63852,91401.0
"What is 95428 minus 28973?", 95428-28973,66455.0
"Compute 136475 times 589", 136475*589,80383775.0
"Calculate 47863 divided by 921", 47863/921,51.9685124864278
"What's the result of 524 plus 937?", 524+937,1461.0
"What is 72541 minus 167?", 72541-167,72374.0
"Find the product of 38426 and 652", 38426*652,25053752.0
"Calculate 65831 divided by 427", 65831/427,154.17096018735364
"How much is 2453 plus 1892?", 2453+1892,4345.0
"What is 74529 minus 183?", 74529-183,74346.0
"What's the result when you multiply 45872 by 384?", 45872*384,17614848.0
"Calculate 51240 divided by 152", 51240/152,337.10526315789474
"What is 1436 plus 275?", 1436+275,1711.0
"What is 83694 minus 342?", 83694-342,83352.0
"Find the product of 875 and 642", 875*642,561750.0
"Calculate 74632 divided by 268", 74632/268,278.4776119402985
"What's the sum of 96241 and 357?", 96241+357,96598.0
"What is 734 minus 258?", 734-258,476.0
"Compute 52938 times 786", 52938*786,41609268.0
"Calculate 67859 divided by 823", 67859/823,82.45321992709599
"What's the result of 853 plus 426?", 853+426,1279.0
"What is 1274 minus 386?", 1274-386,888.0
"Find the product of 64527 and 381", 64527*381,24584787.0
"Calculate 92516 divided by 287", 92516/287,322.35540069686414
"How much is 52967 plus 38412?", 52967+38412,91379.0
"What is 583 minus 249?", 583-249,334.0
"What's the result when you multiply 68435 by 145?", 68435*145,9923075.0
"Calculate 58721 divided by 234", 58721/234,250.94444444444446
"What is 916 plus 592?", 916+592,1508.0
"What is 73825 minus 468?", 73825-468,73357.0
"Find the product of 926 and 438", 926*438,405588.0
"Calculate 85329 divided by 528", 85329/528,161.60795454545453
"What's the sum of 76435 and 485?", 76435+485,76920.0
"What is 87249 minus 295?", 87249-295,86954.0
"Compute 58427 times 369", 58427*369,21559563.0
"Calculate 95372 divided by 284", 95372/284,335.8169014084507
"What's the result of 86153 plus 372?", 86153+372,86525.0
"What is 57634 minus 149?", 57634-149,57485.0
"Find the product of 73895 and 236", 73895*236,17439220.0
"Calculate 96743 divided by 425", 96743/425,227.6305882352941
"How much is 57862 plus 382?", 57862+382,58244.0
"What is 856 minus 374?", 856-374,482.0
"What's the result when you multiply 638 by 275?", 638*275,175450.0
"Calculate 74589 divided by 256", 74589/256,291.36328125
"What is 84367 plus 263?", 84367+263,84630.0
"What is 68293 minus 382?", 68293-382,67911.0
"Find the product of 4273 and 182", 4273*182,777686.0
